COD,TIPO_CLIENTE,TIPO_EMPRESTIMO,CD_SEXO,IDADE,QTD_DIVIDAS,TEMP_RECUPERACAO
577,NOVO,PESSOAL,M,36,3,
578,INVESTIDOR,CDC,M,79,13,5
579,NOVO,PESSOAL,M,54,8,
580,INVESTIDOR,RENEGOCIAÇÃO,M,44,0,
581,NOVO,RENEGOCIAÇÃO,M,38,16,
582,INVESTIDOR,RENEGOCIAÇÃO,I,36,3,
583,NOVO,CDC,M,34,0,
584,INVESTIDOR,CDC,,38,0,
585,NOVO,RENEGOCIAÇÃO,F,48,7,
586,NOVO,PESSOAL,,24,4,
587,TOMADOR,CDC,F,55,0,16
588,NOVO,CDC,F,43,8,6
589,NOVO,PESSOAL,M,35,8,
590,NOVO,CDC,F,20,8,5
591,NOVO,CDC,F,48,0,2
592,INVESTIDOR,CDC,M,60,0,4
593,TOMADOR,CDC,F,30,0,6
594,NOVO,CDC,F,30,7,56
595,NOVO,PESSOAL,F,,2,10
596,INVESTIDOR,CDC,I,41,0,6
597,NOVO,CDC,I,60,5,42
598,NOVO,CDC,,31,16,
599,NOVO,CDC,F,50,8,
600,INVESTIDOR,CDC,F,27,4,4
601,NOVO,RENEGOCIAÇÃO,M,56,0,7
602,NOVO,CDC,F,26,16,
603,NOVO,CDC,F,27,0,23
604,TOMADOR,CDC,M,23,13,6
605,NOVO,CDC,F,22,0,10
606,INVESTIDOR,CDC,M,41,16,
607,NOVO,RENEGOCIAÇÃO,M,57,0,20
608,NOVO,RENEGOCIAÇÃO,M,36,14,
609,INVESTIDOR,CDC,F,39,0,2
